Paper Title,Year,Author,Publication,Url of paper
The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data,2016,M Chimienti  T Cornulier,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.1914
Analysis of animal accelerometer data using hidden Markov models,2017,V Leos‐Barajas  T Photopoulou… - Methods in Ecology …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12657
Internet of animals: unsupervised foaling detection based on accelerometer data,2021,T De Waele  J Fontaine,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9595172/
Towards deep unsupervised representation learning from accelerometer time series for animal activity recognition,6,JW Kamminga  DV Le,ris.utwente.nl,https://ris.utwente.nl/ws/files/220850014/MiLeTS2020_paper_1.pdf
Detecting heat events in dairy cows using accelerometers and unsupervised learning,2016,MS Shahriar  D Smith,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169916306093
Knowledge engineering for unsupervised canine posture detection from IMU data,12,M Winters  R Brugarolas,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2832932.2837015
Analysis of accelerometer and GPS data for cattle behaviour identification and anomalous events detection,2022,J Cabezas  R Yubero,mdpi.com,https://www.mdpi.com/1099-4300/24/3/336
Machine learning for inferring animal behavior from location and movement data,2019,G Wang - Ecological informatics  2019,Elsevier,https://www.sciencedirect.com/science/article/pii/S1574954118302036
Heat event detection in dairy cows with collar sensors: An unsupervised machine learning approach,2015,MS Shahriar  D Smith,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7370528/
A survey of machine learning approaches in animal behaviour,2022,N Kleanthous  AJ Hussain,Elsevier,https://www.sciencedirect.com/science/article/pii/S0925231222003150
A probabilistic framework for behavioral identification from animal-borne accelerometers,2022,JE Dentinger  L Börger,Elsevier,https://www.sciencedirect.com/science/article/pii/S0304380021003628
Unsupervised automated monitoring of dairy cows' behavior based on Inertial Measurement Unit attached to their back,2019,B Achour  M Belkadi,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169919304648
Tri-axial accelerometers quantify behaviour in the Eurasian badger (Meles meles): towards an automated interpretation of field data,2014,DW McClune  NJ Marks… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/2050-3385-2-5
Increasingly detailed insights in animal behaviours using continuous on-board processing of accelerometer data,2022,H Yu  CAJ Klaassen,Springer,https://link.springer.com/article/10.1186/s40462-022-00341-6
An iot-based design using accelerometers in animal behavior recognition systems,2021,DN Tran  TN Nguyen,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9319861/
Automatic classification of sheep behaviour using 3-axis accelerometer data,2014,J Marais  SP Le Roux,researchgate.net,https://www.researchgate.net/profile/Solomon-Le-Roux/publication/319331093_Automatic_classification_of_sheep_behaviour_using_3-axis_accelerometer_data/links/59a5704da6fdcc9fe95f30fa/Automatic-classification-of-sheep-behaviour-using-3-axis-accelerometer-data.pdf
Hidden Markov models identify major movement modes in accelerometer and magnetometer data from four albatross species,2021,MG Conners  T Michelot… - Movement …,movementecologyjournal …,https://movementecologyjournal.biomedcentral.com/articles/10.1186/s40462-021-00243-z
An Unsupervised Machine-Learning Framework for Behavioral Classification From Animal-Borne Accelerometers,2019,JE Dentinger,search.proquest.com,https://search.proquest.com/openview/4d9aadd355a4e54377849e7ec8190d77/1?pq-origsite=gscholar&cbl=18750&diss=y
Classification of behaviour in housed dairy cows using an accelerometer-based activity monitoring system,2015,JA Vázquez Diosdado  ZE Barker… - Animal …,animalbiotelemetry.biomedcentral …,https://animalbiotelemetry.biomedcentral.com/articles/10.1186/s40317-015-0045-8
Supervised versus unsupervised approaches to classification of accelerometry data,2023,M Sur  JC Hall,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.10035
The role of individual variability on the predictive performance of machine learning applied to large bio-logging datasets,2022,M Chimienti  A Kato,nature.com,https://www.nature.com/articles/s41598-022-22258-1
Testing the efficacy of unsupervised machine learning techniques to infer shark behaviour from accelerometry data,2019,CE Norris,researchportal.murdoch.edu.au,https://researchportal.murdoch.edu.au/esploro/outputs/graduate/Testing-the-efficacy-of-unsupervised-machine/991005541123407891?skipUsageReporting=true&skipUsageReporting=true&recordUsage=false&recordUsage=false&institution=61MUN_INST
Introducing a new tool to derive animal behaviour from GPS data without ancillary data: The red-footed falcon in Italy as a case study,2022,A Ferrarini  M Gustin - Ecological Informatics,Elsevier,https://www.sciencedirect.com/science/article/pii/S1574954122000942
High accuracy at low frequency: detailed behavioural classification from accelerometer data,2018,J Tatler  P Cassey,journals.biologists.com,https://journals.biologists.com/jeb/article-abstract/221/23/jeb184085/20503
Observing the unwatchable through acceleration logging of animal behavior,2013,DD Brown  R Kays,Springer,https://link.springer.com/article/10.1186/2050-3385-1-20
Time-Series Based Feature Selection and Clustering for Equine Activity Recognition Using Accelerometers,2023,T De Waele  A Shahid,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10102796/
Behavioral classification of data from collars containing motion sensors in grazing cattle,2015,LA González  GJ Bishop-Hurley,Elsevier,https://www.sciencedirect.com/science/article/pii/S0168169914002798
R package for animal behavior classification from accelerometer data—rabc,2021,H Yu  M Klaassen - Ecology and Evolution,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.7937
Revealing increasingly detailed insights in animal behaviours using continuous on-board processing of accelerometer data,2022,H Yu  J Deng,researchsquare.com,https://www.researchsquare.com/article/rs-1831922/latest
A comparison of techniques for classifying behavior from accelerometers for two species of seabird,2019,A Patterson  HG Gilchrist,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.4740
